customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,support_tickets,churned
1,12,70.5,846,month-to-month,credit_card,1,yes
2,34,55.2,1876.8,one-year,bank_transfer,0,no
3,2,89.0,178,month-to-month,electronic_check,3,yes
4,45,40.1,1804.5,two-year,credit_card,0,no
5,8,75.3,602.4,month-to-month,electronic_check,2,yes
6,22,60.0,1320,one-year,bank_transfer,1,no
7,3,95.5,286.5,month-to-month,credit_card,4,yes
8,50,35.0,1750,two-year,bank_transfer,0,no
9,15,72.0,1080,month-to-month,electronic_check,1,no
10,6,88.2,529.2,month-to-month,credit_card,2,yes
11,28,48.5,1358,one-year,bank_transfer,0,no
12,1,99.0,99,month-to-month,electronic_check,5,yes
13,40,42.0,1680,two-year,credit_card,0,no
14,18,65.5,1179,one-year,bank_transfer,1,no
15,9,80.0,720,month-to-month,electronic_check,2,yes
16,33,58.0,1914,one-year,credit_card,0,no
17,4,92.5,370,month-to-month,electronic_check,3,yes
18,60,30.0,1800,two-year,bank_transfer,0,no
19,11,77.0,847,month-to-month,credit_card,1,yes
20,25,52.0,1300,one-year,bank_transfer,0,no
21,7,85.0,595,month-to-month,electronic_check,2,yes
22,36,45.0,1620,two-year,credit_card,0,no
23,14,68.0,952,month-to-month,bank_transfer,1,no
24,5,90.0,450,month-to-month,electronic_check,3,yes
25,48,38.0,1824,two-year,credit_card,0,no
